aia_id,aia_timestamp,aia_group_id,aia_user_id,aia_feature,aia_prompt_token,aia_completion_token
1850,2025-03-03 04:26:58.660,5068,1241,MarketingDescription,492,270
1851,2025-03-03 04:27:48.360,5075,1396,MarketingDescription,761,216
1852,2025-03-03 04:28:13.850,5075,1396,MarketingDescription,761,250
1853,2025-03-03 05:26:10.143,5075,1192,MarketingDescription,536,228
1854,2025-03-03 05:43:56.850,5088,1206,Nl2Sql,572,24
1855,2025-03-03 05:48:06.577,5075,1280,MarketingDescription,535,213
1856,2025-03-03 05:54:34.833,5133,1193,MarketingDescription,564,236
1857,2025-03-03 05:55:19.107,5075,1280,MarketingDescription,524,238
1858,2025-03-03 05:56:13.813,5075,1256,MarketingDescription,516,226
1859,2025-03-03 05:59:32.997,5075,1366,MarketingDescription,545,223
1860,2025-03-03 06:11:27.810,5107,1219,PriceIntelligence,482,201
1861,2025-03-03 06:22:41.103,5075,1280,MarketingDescription,486,227
1862,2025-03-03 06:25:21.323,5135,1189,PriceIntelligence,471,146
1863,2025-03-03 06:25:40.877,5075,1280,MarketingDescription,531,219
1864,2025-03-03 06:25:58.130,5135,1189,PriceIntelligence,471,205
1865,2025-03-03 06:27:41.947,5135,1189,PriceIntelligence,471,149
1866,2025-03-03 06:28:24.210,5135,1189,PriceIntelligence,474,204
1867,2025-03-03 06:29:19.300,5135,1189,PriceIntelligence,471,151
1868,2025-03-03 06:29:43.950,5107,1193,PriceIntelligence,463,32
1869,2025-03-03 06:30:08.143,5075,1280,MarketingDescription,531,229
1870,2025-03-03 06:30:15.653,5135,1189,PriceIntelligence,471,146
1871,2025-03-03 06:30:17.437,5088,1206,PriceIntelligence,475,165
1872,2025-03-03 06:30:38.863,5088,1206,PriceIntelligence,475,168
1873,2025-03-03 06:30:42.710,5088,1206,PriceIntelligence,475,208
1874,2025-03-03 06:30:45.583,5088,1206,PriceIntelligence,475,168
1875,2025-03-03 06:30:49.623,5088,1206,PriceIntelligence,475,165
1876,2025-03-03 06:30:56.553,5088,1206,PriceIntelligence,475,210
1877,2025-03-03 06:31:01.577,5088,1206,PriceIntelligence,475,218
1878,2025-03-03 06:31:05.390,5088,1206,PriceIntelligence,475,159
1879,2025-03-03 06:31:10.157,5088,1206,PriceIntelligence,475,173
1880,2025-03-03 06:31:14.497,5088,1206,PriceIntelligence,475,164
1881,2025-03-03 06:31:19.463,5088,1206,PriceIntelligence,475,228
1882,2025-03-03 06:31:23.880,5088,1206,PriceIntelligence,475,173
1883,2025-03-03 06:31:28.280,5088,1206,PriceIntelligence,475,175
1884,2025-03-03 06:31:32.300,5088,1206,PriceIntelligence,475,168
1885,2025-03-03 06:31:36.393,5088,1206,PriceIntelligence,475,169
1886,2025-03-03 06:31:45.270,5088,1206,PriceIntelligence,475,179
1887,2025-03-03 06:31:56.673,5088,1206,PriceIntelligence,475,248
1888,2025-03-03 06:32:43.967,5088,1206,PriceIntelligence,475,171
1889,2025-03-03 06:33:44.513,5075,1280,MarketingDescription,531,232
1890,2025-03-03 06:36:37.917,5075,1280,MarketingDescription,486,237
1891,2025-03-03 06:50:13.670,5059,1257,MarketingDescription,488,216
1892,2025-03-03 06:56:52.150,5064,1218,MarketingDescription,507,217
1893,2025-03-03 06:57:04.787,5064,1218,MarketingDescription,507,206
1894,2025-03-03 07:01:03.227,5114,1218,PriceIntelligence,478,151
1895,2025-03-03 07:01:56.073,5107,1219,MarketingDescription,566,228
1896,2025-03-03 07:02:19.327,5107,1219,MarketingDescription,566,251
1897,2025-03-03 07:02:38.350,5059,1345,MarketingDescription,489,219
1898,2025-03-03 07:04:43.543,5062,1383,MarketingDescription,576,202
1899,2025-03-03 07:15:24.043,5063,1214,MarketingDescription,492,249
1900,2025-03-03 07:18:13.253,5135,1189,PriceIntelligence,471,238
1901,2025-03-03 07:19:51.723,5135,1189,PriceIntelligence,471,186
1902,2025-03-03 07:27:17.093,5059,1345,MarketingDescription,492,226
1903,2025-03-03 07:27:45.740,5135,1189,PriceIntelligence,471,207
1904,2025-03-03 07:28:21.433,5059,1345,MarketingDescription,492,244
1905,2025-03-03 07:28:29.957,5059,1345,MarketingDescription,492,218
1906,2025-03-03 07:28:34.743,5059,1345,MarketingDescription,492,223
1907,2025-03-03 07:28:52.333,5059,1345,MarketingDescription,492,239
1908,2025-03-03 07:28:54.393,5075,1372,MarketingDescription,755,225
1909,2025-03-03 07:28:58.450,5059,1345,MarketingDescription,492,213
1910,2025-03-03 07:29:02.980,5059,1345,MarketingDescription,492,235
1911,2025-03-03 07:29:23.850,5059,1345,MarketingDescription,492,240
1912,2025-03-03 07:32:58.403,5135,1189,PriceIntelligence,471,214
1913,2025-03-03 07:33:53.480,5075,1366,MarketingDescription,896,234
1914,2025-03-03 07:35:25.223,5075,1366,MarketingDescription,552,255
1915,2025-03-03 07:35:27.620,5075,1366,MarketingDescription,552,230
1916,2025-03-03 07:38:57.940,5133,1212,MarketingDescription,564,257
1917,2025-03-03 07:39:00.870,5133,1212,MarketingDescription,564,262
1918,2025-03-03 07:50:13.993,5075,1285,MarketingDescription,887,294
1919,2025-03-03 07:50:15.427,5075,1285,MarketingDescription,887,255
1920,2025-03-03 07:52:58.520,5011,1000,PriceIntelligence,479,204
1921,2025-03-03 08:10:50.543,5075,1319,MarketingDescription,759,243
1922,2025-03-03 08:10:53.377,5075,1319,MarketingDescription,759,238
1923,2025-03-03 08:11:01.203,5075,1319,MarketingDescription,759,236
1924,2025-03-03 08:12:09.583,5139,1194,MarketingDescription,564,231
1925,2025-03-03 08:16:15.063,5102,1225,MarketingDescription,514,207
1926,2025-03-03 08:24:11.597,5088,1206,MarketingDescription,491,206
1927,2025-03-03 08:26:15.887,5088,1206,PriceIntelligence,487,155
1928,2025-03-03 08:26:24.670,5088,1206,PriceIntelligence,487,154
1929,2025-03-03 08:26:32.903,5088,1206,PriceIntelligence,487,173
1930,2025-03-03 08:26:39.223,5088,1206,PriceIntelligence,487,164
1931,2025-03-03 08:26:43.587,5088,1206,PriceIntelligence,487,155
1932,2025-03-03 08:26:48.227,5088,1206,PriceIntelligence,487,151
1933,2025-03-03 08:26:51.120,5088,1206,PriceIntelligence,487,146
1934,2025-03-03 08:26:53.940,5088,1206,PriceIntelligence,487,152
1935,2025-03-03 08:27:00.683,5088,1206,PriceIntelligence,487,211
1936,2025-03-03 08:27:06.867,5063,100,PriceIntelligence,485,196
1937,2025-03-03 08:27:04.957,5088,1206,PriceIntelligence,487,194
1938,2025-03-03 08:27:08.850,5088,1206,PriceIntelligence,487,202
1939,2025-03-03 08:27:16.070,5088,1206,PriceIntelligence,487,159
1940,2025-03-03 08:27:20.563,5088,1206,PriceIntelligence,487,212
1941,2025-03-03 08:27:24.447,5088,1206,PriceIntelligence,487,182
1942,2025-03-03 08:28:07.650,5075,1280,MarketingDescription,488,244
1943,2025-03-03 08:29:09.983,5075,1280,MarketingDescription,490,247
1944,2025-03-03 08:50:41.980,5075,1319,MarketingDescription,896,232
1945,2025-03-03 08:50:44.080,5075,1319,MarketingDescription,896,249
1946,2025-03-03 08:50:51.323,5075,1319,MarketingDescription,896,246
1947,2025-03-03 08:50:57.813,5075,1319,MarketingDescription,896,237
1948,2025-03-03 08:51:04.057,5075,1319,MarketingDescription,896,228
1949,2025-03-03 08:51:31.270,5135,1192,MarketingDescription,494,216
1950,2025-03-03 08:56:40.407,5135,1192,MarketingDescription,522,230
1951,2025-03-03 08:59:31.820,5068,1189,MarketingDescription,522,226
1952,2025-03-03 09:02:12.750,5075,1366,MarketingDescription,887,221
1953,2025-03-03 09:02:50.190,5075,1407,MarketingDescription,523,217
1954,2025-03-03 09:02:52.350,5075,1407,MarketingDescription,523,205
1955,2025-03-03 09:19:16.477,5075,1332,MarketingDescription,559,238
1956,2025-03-03 09:19:22.257,5075,1332,MarketingDescription,559,220
1957,2025-03-03 09:19:28.723,5075,1401,MarketingDescription,512,220
1958,2025-03-03 09:19:42.457,5133,100,PriceIntelligence,474,187
1959,2025-03-03 09:20:15.673,5102,1225,MarketingDescription,619,211
1960,2025-03-03 09:20:27.627,5133,100,PriceIntelligence,474,192
1961,2025-03-03 09:25:26.803,5102,1225,MarketingDescription,538,252
1962,2025-03-03 09:25:47.883,5075,1332,MarketingDescription,544,246
1963,2025-03-03 09:25:50.333,5102,1225,MarketingDescription,532,244
1964,2025-03-03 09:25:52.200,5075,1332,MarketingDescription,544,221
1965,2025-03-03 09:25:59.433,5102,1225,MarketingDescription,532,225
1966,2025-03-03 09:26:06.593,5102,1225,MarketingDescription,532,236
1967,2025-03-03 09:26:15.047,5102,1225,MarketingDescription,532,227
1968,2025-03-03 09:26:21.573,5102,1225,MarketingDescription,532,235
1969,2025-03-03 09:30:36.260,5125,1192,MarketingDescription,546,246
1970,2025-03-03 09:30:47.750,5139,1194,MarketingDescription,572,199
1971,2025-03-03 09:33:14.827,5129,1192,MarketingDescription,498,202
1972,2025-03-03 09:40:31.447,5102,1225,MarketingDescription,532,217
1973,2025-03-03 09:51:41.270,2677,1067,Nl2Sql,577,53
1974,2025-03-03 09:54:02.287,2677,1067,MarketingDescription,489,196
1975,2025-03-03 09:56:25.987,2677,1067,PointOfInterest,328,175
1976,2025-03-03 09:57:15.120,2677,1067,PointOfInterest,325,177
1977,2025-03-03 09:58:36.043,2677,1067,PriceIntelligence,477,163
1978,2025-03-03 10:00:48.457,5112,1195,MarketingDescription,622,245
1979,2025-03-03 10:01:30.593,5129,1192,MarketingDescription,498,230
1980,2025-03-03 10:02:10.403,5129,1192,MarketingDescription,498,227
1981,2025-03-03 10:03:14.140,2677,1067,Nl2Sql,579,47
1982,2025-03-03 10:03:31.427,2677,1067,Nl2Sql,577,76
1983,2025-03-03 10:05:38.103,5102,1225,MarketingDescription,526,251
1984,2025-03-03 10:13:09.913,5133,1308,TextCompletion,623,240
1985,2025-03-03 10:42:03.513,5064,1189,MarketingDescription,496,235
1986,2025-03-03 10:47:37.853,5122,1190,MarketingDescription,560,200
1987,2025-03-03 11:05:00.137,5120,1189,MarketingDescription,550,238
1988,2025-03-03 11:14:55.363,5135,1192,MarketingDescription,492,199
1989,2025-03-03 11:14:57.013,5135,1192,MarketingDescription,492,218
1990,2025-03-03 11:16:53.547,5075,1218,MarketingDescription,501,236
1991,2025-03-03 11:25:20.640,5075,1218,MarketingDescription,501,216
1992,2025-03-03 11:26:44.513,5135,1192,MarketingDescription,627,251
1993,2025-03-03 11:26:46.340,5135,1192,MarketingDescription,627,245
1994,2025-03-03 11:27:54.110,5135,1192,PointOfInterest,325,167
1995,2025-03-03 11:29:48.503,5068,1189,MarketingDescription,494,224
1996,2025-03-03 11:37:01.050,5122,1237,MarketingDescription,543,238
1997,2025-03-03 11:37:24.600,5135,1192,MarketingDescription,566,237
1998,2025-03-03 11:42:49.327,5125,1192,MarketingDescription,557,250
1999,2025-03-03 11:47:52.767,5063,1197,MarketingDescription,693,233
2000,2025-03-03 11:59:08.703,5075,1396,PriceIntelligence,482,177
2001,2025-03-03 12:00:03.587,5075,1396,MarketingDescription,752,229
2002,2025-03-03 12:22:32.177,5075,1218,MarketingDescription,755,216
2003,2025-03-03 12:22:58.317,5075,1218,MarketingDescription,755,236
2004,2025-03-03 12:26:38.080,5078,1245,MarketingDescription,499,219
2005,2025-03-03 12:29:38.913,5063,1197,MarketingDescription,492,228
2006,2025-03-03 12:36:14.703,5135,1192,PointOfInterest,322,162
2007,2025-03-03 12:40:47.923,5135,1192,MarketingDescription,572,264
2008,2025-03-03 15:55:28.020,5111,1206,MarketingDescription,535,220
2009,2025-03-03 16:26:33.250,5064,1189,MarketingDescription,492,226
2010,2025-03-03 16:47:52.853,5102,1225,MarketingDescription,560,228
